hours_studied,chapters_completed,mock_tests_attended,pass
5.993428306022466,7,4,1
4.72347139765763,0,5,1
6.295377076201385,7,5,1
8.046059712816051,5,5,1
4.531693250553328,3,3,0
4.531726086101639,11,0,1
8.158425631014783,7,5,1
6.534869458305818,2,1,0
4.061051228130096,3,4,0
6.085120087171929,5,5,0
4.0731646143750755,10,1,1
4.068540492859486,6,5,1
5.483924543132068,3,0,0
1.1734395106844042,3,0,0
1.5501643349739345,6,5,1
3.8754249415180544,5,1,0
2.9743377593311524,10,4,0
5.628494665190548,7,1,1
3.1839518489575784,0,4,0
2.175392597329417,9,5,1
7.931297537843108,10,4,1
4.548447399026928,6,2,0
5.1350564093758475,11,3,1
2.1505036275730864,6,3,0
3.9112345509496347,10,0,0
5.2218451794197325,6,2,1
2.6980128451553944,6,3,1
5.751396036691344,9,5,1
3.79872262016239,9,4,1
4.416612500413446,7,4,0
3.796586775541206,8,1,1
8.704556369017876,8,1,1
4.973005550524132,1,4,0
2.8845781420881993,6,5,1
6.645089824206378,6,4,1
2.5583127000579555,3,1,0
5.4177271900095105,8,3,1
1.0806597522404489,7,0,0
2.343627902203139,11,1,0
5.393722471738247,0,5,1
6.476933159990821,1,3,1
5.342736562379941,1,3,0
4.768703435223519,11,3,1
4.3977926088214225,11,2,1
2.0429560192651453,10,2,0
3.5603115832105825,7,3,1
4.078722458080425,0,5,0
7.114244452437831,3,4,1
5.687236579136923,9,5,1
1.473919689274532,11,2,0
5.64816793878959,4,1,0
4.229835439167367,8,2,0
3.6461559993880828,6,4,0
6.2233525776817356,7,0,0
7.061999044991902,10,2,1
6.862560238232398,8,5,1
3.3215649535547227,6,5,1
4.381575248297571,4,3,1
5.662526862807128,4,3,0
6.951090254244718,9,3,1
4.04165152430942,10,0,1
4.628682046672366,5,4,1
2.7873300519879436,4,1,1
2.6075867518386584,11,5,1
6.625051644788396,10,5,1
7.712480057141645,8,4,1
4.855979756839332,2,0,0
7.007065795784048,2,3,0
5.723272050095268,6,4,0
3.7097604907897512,6,1,0
5.722791211016828,5,3,0
8.076073132931938,2,1,1
4.928347921780097,6,2,0
8.129287311628012,4,1,0
0.0,6,3,0
6.643805008750448,1,2,0
5.174094136476342,5,3,1
4.401985299068265,7,5,1
5.183521553071005,0,3,0
1.0248621707982144,3,2,0
4.560656224324976,10,1,1
5.7142251430234925,0,5,1
7.955788089483033,0,0,0
3.9634595634527052,9,0,0
3.3830127942136246,11,0,0
3.996485912830927,10,0,0
6.830804235404148,7,4,1
5.657502219319369,6,0,0
3.9404795924659224,11,2,1
6.026534866226712,9,0,0
5.194155098696081,0,3,0
6.937289981065779,10,0,0
3.5958938122452953,1,1,0
4.3446757068044635,3,2,0
4.215783693735685,0,2,0
2.072970103735763,2,5,1
5.592240554129152,7,4,1
5.522110544359778,7,3,0
5.010226913284922,7,2,0
4.530825733249706,5,1,0
2.1692585158991715,5,0,0
4.158709354469282,4,2,0
4.314570966946461,8,1,0
3.395445461556762,3,0,0
4.677428576667982,9,4,1
5.8081017136290765,11,2,1
8.77237180242106,11,2,1
5.349155625663678,11,1,0
5.515100781445529,6,5,1
4.851108168467666,0,3,1
1.162457569401917,8,4,1
4.946972249101567,6,3,0
5.120460419882053,9,2,0
9.926484224970572,11,3,1
4.615278070437755,8,0,0
5.603094684667225,6,4,1
4.9305764605895135,1,3,0
2.662643924760936,5,0,0
7.285645629030041,9,1,0
6.503866065373549,11,3,1
6.582063894086094,10,4,1
3.181225090410522,3,0,0
7.805588621872198,2,3,1
2.1962978744154382,1,1,0
6.173714187600541,5,3,1
9.380911251619956,7,0,0
3.0189273497386235,5,3,0
3.867404540794456,8,4,0
5.199302730175282,4,2,0
3.9930486917676014,1,0,0
1.8986731378677346,7,0,0
5.137125949612055,8,0,1
2.8753925725477902,9,0,0
5.9471848612703635,3,3,0
3.1611515315323935,5,4,0
8.09986881003508,10,1,0
3.4334934153275256,9,4,1
4.355876967588649,7,0,0
6.62703443473934,8,5,1
2.5382713671320896,11,3,0
5.4549198692082586,4,5,0
7.614285508564857,11,3,1
1.785033530877545,5,0,0
5.369267717064608,10,3,0
5.519765588496847,3,0,0
6.563645743554621,4,4,0
2.526098578243836,6,2,0
2.3590867738314474,8,3,0
6.0438831312337955,9,0,0
5.5939693464663724,10,5,1
5.5009857006917535,5,0,0
5.692896418993952,5,5,1
3.6399505568430186,7,3,1
5.464507394322007,10,1,1
5.586144946597362,3,5,0
3.571297163947264,2,0,0
8.731549022289514,6,3,1
5.947665841823575,4,0,1
2.617393005594703,1,1,0
6.313107217267659,1,2,0
3.050636659545357,10,1,1
6.574169207484904,5,4,0
7.317191158014808,7,3,1
3.358635363296579,0,1,0
6.926752258488643,10,2,1
5.825561853872997,5,0,0
6.64412031998898,11,3,1
8.793585965307894,1,5,1
4.509223767994259,1,1,0
3.492527671285021,6,2,0
3.2209711407489534,9,1,0
3.3683794300691234,0,4,0
4.845796581171792,5,3,0
5.682303949633288,6,0,0
5.553381598660038,7,2,1
6.654366498072047,6,1,0
5.026003783755814,5,3,1
7.907068154314634,8,1,1
4.470686333524088,2,3,0
10.0,10,4,1
6.251334695530012,5,1,0
3.285684887167435,3,4,0
2.8582150038777754,1,5,1
5.96494483048637,0,5,1
4.553074429348298,11,2,1
6.428000988184184,11,4,1
5.94647524914709,0,3,0
4.854342174686255,10,2,0
3.30641256386319,9,1,0
1.9703055506282707,2,1,0
4.106970095865957,3,3,1
6.712797588646945,1,0,0
5.4281874882604075,11,0,1
2.508522442576024,10,1,0
5.346361851702364,10,3,1
5.770634759457674,10,0,1
3.2322851275977342,0,4,0
5.307450211891056,3,1,0
5.116417436892,6,5,1
2.714059404338754,9,4,1
5.715574720696567,10,3,1
6.121569052736469,5,5,1
7.166102486350554,5,4,1
7.1076041040698055,10,0,1
2.244661264085818,8,0,0
3.124349920169754,1,5,0
6.0300705344173195,3,2,0
6.027571901824418,4,1,1
6.030095372612096,0,5,0
10.0,7,3,1
6.141781021386334,7,1,0
7.271131280361198,5,4,1
6.908003526986405,11,3,1
6.302782502611596,4,3,1
4.369461510719309,7,0,0
6.517938440986535,2,4,1
3.4543495709248564,2,0,0
4.526362786519982,1,0,0
4.029272904341793,4,2,1
5.163748278772645,2,0,0
9.629317133347017,2,1,1
1.2654696148165039,5,3,0
6.372520380749027,7,0,0
1.7745682576206967,1,5,0
4.056136268421133,3,1,0
7.177901193934732,10,4,1
5.128560038190925,6,3,0
2.8445104441413878,0,5,0
3.5693925814800638,0,5,0
6.359195497869352,11,4,1
3.5392667365657267,9,5,0
5.43291717916395,6,1,0
5.091143679807628,6,4,1
3.6967993047883656,0,5,0
9.28788817865065,0,4,1
6.267838044636022,3,4,1
0.9497148266847857,4,0,0
5.3729086295388555,4,0,0
3.676427070463224,3,0,0
6.704866669592448,7,5,1
3.4149585231345987,6,3,1
4.770527117066202,8,1,0
6.0099745579609145,6,5,1
6.731510388340243,9,0,1
2.5994071858884475,0,4,0
4.330997528318103,6,5,1
4.050109377678088,0,4,0
3.693341534852576,6,4,1
8.530908480562193,9,4,1
5.809963421921911,7,2,1
2.4782320913299096,10,3,1
6.835723894109552,8,1,0
9.244312394025266,11,1,1
7.064930521102294,2,0,0
1.9612600680919732,3,2,0
4.031531854267497,3,5,0
7.533822298373245,11,5,1
3.5846610687624385,8,1,0
5.887638856292456,6,3,0
6.5492681068586736,2,4,1
3.1461390568438343,9,0,0
4.8809492878764,4,3,0
0.0,6,1,0
2.9512247173314203,7,2,0
4.494863697213679,0,0,0
2.504433636070301,11,1,1
8.26482260786327,1,5,1
